ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,pds_linke,other
05122000,"Solingen, krfr. Stadt",14-05-2017,112676,0.625297313,70456,0.306290451,0.29495004,0.137617804,0.079510617,0.062336778,0.055949813,0.051776996
05122000,"Solingen, krfr. Stadt",15-05-2022,110736,0.511703511,56664,0.337515883,0.270224481,0.061802908,0.055079063,0.181032049,0.020295073,0.065703092
05124000,"Wuppertal, krfr. Stadt",13-05-1990,286200,0.685426275,196169,0.296397494,0.530481371,0.083275135,0,0.053163344,0,0.031335226
05124000,"Wuppertal, krfr. Stadt",14-05-1995,274087,0.623393302,170864,0.319856728,0.49066509,0.046223897,0,0.105803446,0,0.031522146
05124000,"Wuppertal, krfr. Stadt",14-05-2000,260263,0.538136424,140057,0.301812833,0.445768509,0.119180048,0,0.083344638,0.0171216,0.023833154
05124000,"Wuppertal, krfr. Stadt",22-05-2005,254919,0.603721182,153900,0.394353476,0.370773229,0.066081871,0,0.072664068,0.013573749,0.069317739
05124000,"Wuppertal, krfr. Stadt",09-05-2010,249472,0.572681503,142868,0.277304925,0.343183918,0.064584092,0,0.140766302,0.079198981,0.08052188
05124000,"Wuppertal, krfr. Stadt",13-05-2012,247797,0.567569422,140642,0.189673071,0.394199457,0.093713116,0,0.138735228,0.037087072,0.132506648
05124000,"Wuppertal, krfr. Stadt",14-05-2017,241397,0.620044988,149677,0.264422724,0.318158434,0.125597119,0.084087736,0.076457973,0.068006441,0.051009841
05124000,"Wuppertal, krfr. Stadt",15-05-2022,233374,0.503098031,117410,0.296993442,0.280112427,0.058725833,0.059850098,0.196601652,0.030670301,0.069074184
05154004,Bedburg-Hau,13-05-1990,8158,0.758519245,6188,0.495959922,0.387685844,0.047996122,0,0.044764059,0,0.013897867
05154004,Bedburg-Hau,14-05-1995,8191,0.710169698,5817,0.505243253,0.36135465,0.038507822,0,0.074608905,0,0.014440433
05154004,Bedburg-Hau,14-05-2000,8567,0.635228201,5442,0.495589857,0.317162808,0.109334803,0,0.054208012,0.009004043,0
05154004,Bedburg-Hau,22-05-2005,9163,0.678926116,6221,0.584954187,0.263140974,0.058350747,0,0.051117184,0.006751326,0.024594117
05154004,Bedburg-Hau,09-05-2010,9500,0.618947368,5880,0.463435374,0.260714286,0.088435374,0,0.09829932,0.029591837,0.042176871
05154004,Bedburg-Hau,13-05-2012,9565,0.633350758,6058,0.358204028,0.327005612,0.094750743,0,0.080389568,0.013370749,0.109607131
05154004,Bedburg-Hau,14-05-2017,9860,0.671298174,6619,0.437981568,0.276627889,0.130231153,0.049554313,0.045021907,0.024172836,0.028100922
05154004,Bedburg-Hau,15-05-2022,9895,0.576452754,5704,0.461430575,0.230364656,0.063814867,0.036640954,0.144109397,0.01069425,0.045056101
05154008,"Emmerich am Rhein, Stadt",13-05-1990,20920,0.730449331,15281,0.409986257,0.485635757,0.04489235,0,0.036450494,0,0.018192527
05154008,"Emmerich am Rhein, Stadt",14-05-1995,20798,0.636359265,13235,0.433094069,0.446769928,0.031356252,0,0.066490366,0,0.016924821
05154008,"Emmerich am Rhein, Stadt",14-05-2000,20581,0.560031097,11526,0.395280236,0.444560125,0.088842617,0,0.048499046,0.012406733,0
05154008,"Emmerich am Rhein, Stadt",22-05-2005,20828,0.59011907,12291,0.49532178,0.357334635,0.046538117,0,0.048083964,0.011309088,0.031242372
05154008,"Emmerich am Rhein, Stadt",09-05-2010,20577,0.554794188,11416,0.379029432,0.350823406,0.060967064,0,0.090925018,0.058952348,0.044148563
05154008,"Emmerich am Rhein, Stadt",13-05-2012,20248,0.562425919,11388,0.291271514,0.39655778,0.079030558,0,0.08719705,0.025465402,0.105900948
05154008,"Emmerich am Rhein, Stadt",14-05-2017,19516,0.62271982,12153,0.359993417,0.340985765,0.113387641,0.062700568,0.047642557,0.032666831,0.031843989
05154008,"Emmerich am Rhein, Stadt",15-05-2022,18959,0.515586265,9775,0.399181586,0.304143223,0.042659847,0.040511509,0.140767263,0.014219949,0.048286445
05154012,"Geldern, Stadt",13-05-1990,21908,0.732426511,16046,0.51352362,0.366446466,0.059142465,0,0.036457684,0,0.016452698
05154012,"Geldern, Stadt",14-05-1995,22870,0.685483166,15677,0.542323149,0.338074887,0.029725075,0,0.073100721,0,0.010716336
05154012,"Geldern, Stadt",14-05-2000,24058,0.571867986,13758,0.497019916,0.309201919,0.111571449,0,0.054441052,0.010539323,0.006323594
05154012,"Geldern, Stadt",22-05-2005,25135,0.634453949,15947,0.575782279,0.26506553,0.071674923,0,0.041010848,0.006270772,0.031918229
05154012,"Geldern, Stadt",09-05-2010,25630,0.591221225,15153,0.43714116,0.274665083,0.082557909,0,0.097868409,0.043225764,0.052068897
05154012,"Geldern, Stadt",13-05-2012,25632,0.599328964,15362,0.356464002,0.321572712,0.095951048,0,0.083322484,0.017250358,0.113331597
05154012,"Geldern, Stadt",14-05-2017,25863,0.651741871,16856,0.43456336,0.257890365,0.128025629,0.053215472,0.046037019,0.03624822,0.03624822
05154012,"Geldern, Stadt",15-05-2022,25355,0.545533425,13832,0.442307692,0.226720648,0.061524002,0.04142568,0.151460382,0.015254482,0.054149798
05154016,"Goch, Stadt",13-05-1990,21345,0.724338253,15461,0.477847487,0.39589936,0.052842636,0,0.043270164,0,0.019403661
05154016,"Goch, Stadt",14-05-1995,21593,0.646737369,13965,0.505764411,0.362692445,0.032366631,0,0.075259578,0,0.014321518
05154016,"Goch, Stadt",14-05-2000,22936,0.548875131,12589,0.465565176,0.344189372,0.116371435,0,0.048772738,0.009691,0.001826992
05154016,"Goch, Stadt",22-05-2005,23959,0.599524187,14364,0.564954052,0.271999443,0.070662768,0,0.039125592,0.008632693,0.032999165
05154016,"Goch, Stadt",09-05-2010,24246,0.557040337,13506,0.442544054,0.277432252,0.075003702,0,0.093365911,0.042721753,0.053827928
05154016,"Goch, Stadt",13-05-2012,24347,0.568406785,13839,0.349302695,0.327769347,0.092636751,0,0.079196474,0.020377195,0.115181733
05154016,"Goch, Stadt",14-05-2017,24626,0.613619751,15111,0.413275098,0.271060817,0.129111243,0.062801932,0.045397393,0.03110317,0.037257627
05154016,"Goch, Stadt",15-05-2022,24746,0.51697244,12793,0.450637067,0.22699914,0.06214336,0.045571797,0.141170953,0.013913859,0.051043539
05154020,Issum,13-05-1990,8553,0.778791067,6661,0.433718661,0.448731422,0.053895811,0,0.038582795,0,0.018615823
05154020,Issum,14-05-1995,8819,0.720489851,6354,0.474189487,0.414699402,0.032420523,0,0.062322946,0,0.010387158
05154020,Issum,14-05-2000,9188,0.631475838,5802,0.435539469,0.389865564,0.104963806,0,0.042399173,0.010341262,0.005342985
05154020,Issum,22-05-2005,9439,0.700709821,6614,0.509222861,0.337012398,0.066979135,0,0.035833081,0.006954944,0.033716359
05154020,Issum,09-05-2010,9608,0.67183597,6455,0.417041053,0.31510457,0.077459334,0,0.078853602,0.049728892,0.050503486
05154020,Issum,13-05-2012,9564,0.672626516,6433,0.317114876,0.364993005,0.097155293,0,0.077568786,0.018498368,0.110990207
05154020,Issum,14-05-2017,9582,0.727092465,6967,0.392134348,0.303430458,0.126022678,0.065594948,0.039758863,0.029280896,0.036888187
05154020,Issum,15-05-2022,9736,0.614831553,5986,0.429001002,0.264617441,0.057968593,0.042933512,0.140327431,0.012195122,0.046441697
05154024,"Kalkar, Stadt",13-05-1990,8103,0.727384919,5894,0.503053953,0.362232779,0.061418392,0,0.04631829,0,0.015948422
05154024,"Kalkar, Stadt",14-05-1995,8730,0.644444444,5626,0.505154639,0.341628155,0.053146107,0,0.077852826,0,0.013686456
05154024,"Kalkar, Stadt",14-05-2000,9558,0.566331869,5413,0.475521892,0.301126917,0.141695917,0,0.054128949,0.009606503,0.00424903
05154024,"Kalkar, Stadt",22-05-2005,10209,0.615535312,6284,0.591024825,0.257638447,0.065245067,0,0.041534055,0.006206238,0.026893698
05154024,"Kalkar, Stadt",09-05-2010,10334,0.561447649,5802,0.461564978,0.263529817,0.079800069,0,0.080144778,0.047397449,0.04981041
05154024,"Kalkar, Stadt",13-05-2012,10277,0.570399922,5862,0.366939611,0.315933129,0.081200955,0,0.083930399,0.022688502,0.11293074
05154024,"Kalkar, Stadt",14-05-2017,10375,0.642409639,6665,0.43735934,0.275018755,0.109227307,0.057914479,0.044861215,0.029407352,0.035708927
05154024,"Kalkar, Stadt",15-05-2022,10449,0.551727438,5765,0.451170859,0.205030356,0.053425846,0.04839549,0.136166522,0.011795317,0.083087598
05154028,Kerken,13-05-1990,8697,0.780958951,6792,0.47614841,0.396937574,0.066990577,0,0.032243816,0,0.019434629
05154028,Kerken,14-05-1995,8991,0.719386053,6468,0.504174397,0.367965368,0.03834261,0,0.074675325,0,0.00742115
05154028,Kerken,14-05-2000,9380,0.626012793,5872,0.446355586,0.353882834,0.121764305,0,0.04972752,0.010217984,0.008174387
05154028,Kerken,22-05-2005,9813,0.698461225,6854,0.529325941,0.286402101,0.084622118,0,0.048584768,0.008170411,0.029763642
05154028,Kerken,09-05-2010,10024,0.649541101,6511,0.42343726,0.291506681,0.085701121,0,0.103977884,0.034096145,0.049454769
05154028,Kerken,13-05-2012,10050,0.655124378,6584,0.338092345,0.340218712,0.088851762,0,0.091585662,0.013821385,0.115583232
05154028,Kerken,14-05-2017,10152,0.711682427,7225,0.414948097,0.267958478,0.137577855,0.060069204,0.04982699,0.029204152,0.03266436
05154028,Kerken,15-05-2022,10149,0.616021283,6252,0.417146513,0.231285988,0.055502239,0.042546385,0.171145234,0.011996161,0.063659629
05154032,"Kevelaer, Stadt",13-05-1990,17407,0.742287585,12921,0.529989939,0.339447411,0.050305704,0,0.044269019,0,0.027087687
05154032,"Kevelaer, Stadt",14-05-1995,18267,0.685991132,12531,0.556779188,0.317532519,0.025456867,0,0.068470194,0,0.025057857
05154032,"Kevelaer, Stadt",14-05-2000,19470,0.579763739,11288,0.502037562,0.294649185,0.1070163,0,0.069365698,0.009479093,0.004872431
05154032,"Kevelaer, Stadt",22-05-2005,20429,0.651671643,13313,0.598587846,0.240892361,0.064448284,0,0.04589499,0.008638173,0.031397882
05154032,"Kevelaer, Stadt",09-05-2010,21185,0.596412556,12635,0.48017412,0.246062525,0.077878908,0,0.093787099,0.03419074,0.053264741
05154032,"Kevelaer, Stadt",13-05-2012,21176,0.60464677,12804,0.383161512,0.28553577,0.097625742,0,0.088019369,0.015620119,0.116135583
05154032,"Kevelaer, Stadt",14-05-2017,21166,0.668005292,14139,0.438220525,0.244359573,0.147181555,0.047103756,0.04759884,0.029846524,0.036424075
05154032,"Kevelaer, Stadt",15-05-2022,20853,0.573778353,11965,0.472544923,0.205098203,0.065022984,0.031508567,0.15185959,0.014375261,0.049895529
05154036,"Kleve, Stadt",13-05-1990,34216,0.726151508,24846,0.428640425,0.442042985,0.062666023,0,0.04000644,0,0.020365451
05154036,"Kleve, Stadt",14-05-1995,34624,0.641606978,22215,0.447175332,0.406482107,0.045554805,0,0.076839973,0,0.017690749
05154036,"Kleve, Stadt",14-05-2000,35271,0.560942417,19785,0.463634066,0.354814253,0.100379075,0,0.057872125,0.011624968,0
05154036,"Kleve, Stadt",22-05-2005,35712,0.591201837,21113,0.533983801,0.296405058,0.067636054,0,0.052811064,0.007199356,0.031307725
05154036,"Kleve, Stadt",09-05-2010,35703,0.536145422,19142,0.416779856,0.291087661,0.075488455,0,0.113311044,0.042628774,0.045031867
05154036,"Kleve, Stadt",13-05-2012,35652,0.53912824,19221,0.320690911,0.338952188,0.104885282,0,0.100202903,0.018677488,0.102648145
05154036,"Kleve, Stadt",14-05-2017,35772,0.590992955,21141,0.377134478,0.284991249,0.133626602,0.05505889,0.057707772,0.044226858,0.035570692
05154036,"Kleve, Stadt",15-05-2022,34536,0.494961779,17094,0.408681409,0.24031824,0.055048555,0.037966538,0.173920674,0.017433017,0.055633556
05154040,Kranenburg,13-05-1990,5722,0.762670395,4364,0.502749771,0.372823098,0.052016499,0,0.039871677,0,0.0236022
05154040,Kranenburg,14-05-1995,5871,0.677908363,3980,0.500251256,0.349497487,0.046984925,0,0.075628141,0,0.018844221
05154040,Kranenburg,14-05-2000,6247,0.603009445,3767,0.52136979,0.284576586,0.110698168,0,0.059994691,0.00822936,0
05154040,Kranenburg,22-05-2005,5977,0.678266689,4054,0.61371485,0.239023187,0.063887519,0,0.043907252,0.004686729,0.021213616
05154040,Kranenburg,09-05-2010,5832,0.618484225,3607,0.4957028,0.264485722,0.071527585,0,0.087884669,0.026337677,0.040199612
05154040,Kranenburg,13-05-2012,5825,0.635193133,3700,0.414864865,0.300810811,0.07972973,0,0.078108108,0.007837838,0.101351351
05154040,Kranenburg,14-05-2017,5885,0.680713679,4006,0.460309536,0.256864703,0.119570644,0.044183724,0.052171742,0.025961058,0.029206191
05154040,Kranenburg,15-05-2022,6055,0.577704377,3498,0.487421384,0.229273871,0.051743854,0.021440823,0.142367067,0.009148085,0.045740423
05154044,"Rees, Stadt",13-05-1990,13969,0.728541771,10177,0.443254397,0.447872654,0.039992139,0,0.033605188,0,0.027807802
05154044,"Rees, Stadt",14-05-1995,14190,0.661451727,9386,0.437886214,0.430747922,0.037609205,0,0.067760494,0,0.020882165
05154044,"Rees, Stadt",14-05-2000,15316,0.575411335,8813,0.413820492,0.407352774,0.097469647,0,0.059117213,0.011800749,0
05154044,"Rees, Stadt",22-05-2005,16414,0.640428902,10512,0.501617199,0.335711568,0.056792237,0,0.057363014,0.008181126,0.031868341
05154044,"Rees, Stadt",09-05-2010,16960,0.596049528,10109,0.383321792,0.337916708,0.064793748,0,0.105747354,0.04629538,0.049757642
05154044,"Rees, Stadt",13-05-2012,16990,0.597939965,10159,0.315680677,0.374446304,0.067132592,0,0.097352102,0.022541589,0.111132986
05154044,"Rees, Stadt",14-05-2017,17092,0.660542944,11290,0.384145261,0.322852081,0.109211692,0.057130204,0.05659876,0.032418069,0.027989371
05154044,"Rees, Stadt",15-05-2022,17078,0.567162431,9686,0.429072889,0.259756349,0.053479248,0.040677266,0.154656205,0.012905224,0.042948586
05154048,Rheurdt,13-05-1990,4392,0.818533698,3595,0.433379694,0.463143255,0.042280946,0,0.036161335,0,0.019749652
05154048,Rheurdt,14-05-1995,4494,0.761014686,3420,0.450584795,0.423391813,0.028362573,0,0.077192982,0,0.012865497
05154048,Rheurdt,14-05-2000,4788,0.674394319,3229,0.428305977,0.365438216,0.109321771,0,0.074326417,0.006813255,0.005884175
05154048,Rheurdt,22-05-2005,5063,0.726249259,3677,0.476203427,0.329888496,0.078324721,0,0.064454719,0.007886864,0.032907261
05154048,Rheurdt,09-05-2010,5347,0.69945764,3740,0.382887701,0.314171123,0.081283422,0,0.107754011,0.049465241,0.049197861
05154048,Rheurdt,13-05-2012,5347,0.683373854,3654,0.288998358,0.372468528,0.092501368,0,0.105090312,0.020799124,0.106185003
05154048,Rheurdt,14-05-2017,5380,0.746282528,4015,0.369115816,0.288667497,0.138480697,0.062515567,0.055043587,0.035616438,0.040348692
05154048,Rheurdt,15-05-2022,5312,0.645143072,3427,0.390137146,0.268748176,0.063320689,0.048147067,0.151736212,0.011672016,0.060986285
05154052,"Straelen, Stadt",13-05-1990,9539,0.727225076,6937,0.626207294,0.264811878,0.059247513,0,0.028686752,0,0.014271299
05154052,"Straelen, Stadt",14-05-1995,10175,0.667223587,6789,0.635145088,0.263367212,0.025335101,0,0.062159375,0,0.008395935
05154052,"Straelen, Stadt",14-05-2000,10786,0.574262933,6194,0.59767517,0.231030029,0.100904101,0,0.049241201,0.010009687,0.002098805
05154052,"Straelen, Stadt",22-05-2005,11054,0.673149991,7441,0.672355866,0.187474802,0.071898938,0,0.035210321,0.003762935,0.020830534
