ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,linke_pds,ad_demokraten,other
5334004,"Alsdorf, Stadt (ab 21.10.2009)",2017-05-14,33298,0.611508199,20362,0.279166043,0.415282558,0.08997955,0.092224051,0.037957005,0.037657739,0.001346701,0.046386353
5334008,"Baesweiler, Stadt (ab 21.10.2009)",2017-05-14,19085,0.651768405,12439,0.395564976,0.318767324,0.102396869,0.069460297,0.039540192,0.031142997,0.00383173,0.039295614
5334012,"Eschweiler, Stadt (ab 21.10.2009)",2017-05-14,41875,0.642865672,26920,0.286971566,0.413645253,0.111516474,0.075522792,0.033248082,0.036369791,0.000940274,0.041785768
5334016,"Herzogenrath, Stadt (ab 21.10.2009)",2017-05-14,35111,0.678362906,23818,0.291165597,0.372880636,0.122891259,0.064420176,0.054306718,0.047295287,0.001402286,0.04563804
5334020,"Monschau, Stadt (ab 21.10.2009)",2017-05-14,9344,0.744006849,6952,0.403605699,0.286856644,0.130851992,0.048415237,0.058738005,0.035475429,0.000145391,0.035911602
5334024,Roetgen (ab 21.10.2009),2017-05-14,6639,0.782045489,5192,0.346899225,0.288178295,0.144379845,0.044186047,0.109496124,0.036434109,0.000193798,0.030232558
5334028,Simmerath (ab 21.10.2009),2017-05-14,12265,0.729066449,8942,0.420207957,0.278933092,0.120705244,0.055153707,0.053571429,0.034584087,0.00011302,0.036731465
5334032,"Stolberg (Rhld.), Stadt (ab 21.10.2009)",2017-05-14,40995,0.637028906,26115,0.327006676,0.34742276,0.119934793,0.073086477,0.046537805,0.041103866,0.001668995,0.043238628
5334036,"Würselen, Stadt (ab 21.10.2009)",2017-05-14,28895,0.689738709,19930,0.310608749,0.386993766,0.120888033,0.057884333,0.049825131,0.036393127,0.001064423,0.03634244
5358004,Aldenhoven,2017-05-14,10135,0.636605821,6452,0.332651456,0.360188828,0.098033045,0.085601888,0.032572777,0.035719906,0.003147128,0.052084972
5358008,"Düren, Stadt",2017-05-14,63616,0.567876006,36126,0.334073096,0.326094896,0.103828974,0.089389555,0.054920358,0.045565638,0.000955137,0.045172346
5358012,"Heimbach, Stadt",2017-05-14,3517,0.679840773,2391,0.428996599,0.254676871,0.144132653,0.0625,0.045493197,0.034438776,0,0.029761905
5358016,Hürtgenwald,2017-05-14,6913,0.738319109,5104,0.408296943,0.25883287,0.139341008,0.068678047,0.051607781,0.037316395,0,0.035926955
5358020,Inden,2017-05-14,5694,0.717246224,4084,0.335482271,0.367964295,0.107116291,0.077361765,0.037193156,0.03173816,0,0.043144061
5358024,"Jülich, Stadt",2017-05-14,24713,0.679237648,16786,0.347241483,0.332348508,0.129996985,0.057099789,0.053361471,0.039614109,0.000542659,0.039794995
5358028,Kreuzau,2017-05-14,14377,0.712735619,10247,0.396756329,0.283128956,0.121736551,0.068037975,0.051720728,0.03945807,0.00039557,0.038765823
5358032,Langerwehe,2017-05-14,11282,0.72451693,8174,0.355006825,0.328204492,0.112917235,0.072837821,0.051743392,0.034991934,0.000496339,0.043801961
5358036,"Linnich, Stadt",2017-05-14,10113,0.685058835,6928,0.379476685,0.333430785,0.102178044,0.067241631,0.039906446,0.029674024,0.000877065,0.047215319
5358040,Merzenich,2017-05-14,7813,0.673876872,5265,0.376753122,0.312584054,0.114505283,0.075888569,0.049567723,0.029010567,0.000384246,0.041306436
5358044,"Nideggen, Stadt",2017-05-14,8144,0.713408644,5810,0.406391108,0.257033692,0.132511289,0.071378951,0.059395623,0.034560611,0.000173671,0.038555054
5358048,Niederzier,2017-05-14,10987,0.676799854,7436,0.319744531,0.374779182,0.103274901,0.085201794,0.037097432,0.034787335,0.000543552,0.044571273
5358052,Nörvenich,2017-05-14,8436,0.682313893,5756,0.378459369,0.278335977,0.121805041,0.092014807,0.042834479,0.036312357,0.000705094,0.049532875
