ags,GEN,total_22,german_born,turkish_born,italian_born
010545417140,Tümlauer Koog,106,0.971698113,0,0
010545417145,Vollerwiek,208,0.899038462,0,0.014423077
010545417148,Welt,191,0.916230366,0,0
010545417150,Westerhever,97,0.969072165,0,0
010545439046,Hörnum (Sylt),854,0.823185012,0,0
010545439061,Kampen (Sylt),533,0.825515947,0,0
010545439078,List auf Sylt,1404,0.714387464,0.003561254,0.004273504
010545439149,Wenningstedt0Braderup (Sylt),1441,0.800832755,0.006939625,0.003469813
010545453003,Ahrenviöl,524,0.942748092,0.005725191,0
010545453004,Ahrenviölfeld,224,0.959821429,0,0
010545453011,Behrendorf,551,0.969147005,0,0.005444646
010545453013,Bondelum,186,0.930107527,0,0
010545453041,Haselund,920,0.970652174,0.00326087,0
010545453057,Immenstedt (Kreis Nordfriesland),671,0.926974665,0,0
010545453079,Löwenstedt,705,0.960283688,0,0
010545453092,Norstedt,391,0.987212276,0,0
010545453101,Oster0Ohrstedt,665,0.935338346,0.006015038,0.004511278
010545453118,Schwesing,937,0.933831377,0,0
010545453123,Sollwitt,285,0.975438596,0,0
010545453144,Viöl,2248,0.941281139,0,0
010545453152,Wester0Ohrstedt,1078,0.914656772,0,0
010545459039,Gröde,9,1,0,0
010545459050,Hallig Hooge,100,0.9,0,0
010545459074,Langeneß,136,0.904411765,0,0
010545459103,Pellworm,1231,0.926076361,0,0.002437043
010545488005,Alkersum,392,0.892857143,0.007653061,0
010545488015,Borgsum,305,0.931147541,0,0
010545488025,Dunsum,77,0.974025974,0,0
010545488083,Midlum (Kreis Nordfriesland),467,0.895074946,0.014989293,0
010545488085,Nebel,921,0.880564604,0,0
010545488087,Nieblum,582,0.85395189,0,0.005154639
010545488089,Norddorf auf Amrum,571,0.814360771,0,0.007005254
010545488094,Oevenum,454,0.95814978,0,0
010545488098,Oldsum,561,0.937611408,0.005347594,0.005347594
010545488129,Süderende,178,0.926966292,0,0
010545488143,Utersum,412,0.878640777,0,0
010545488158,Witsum,41,0.975609756,0,0
010545488160,Wittdün auf Amrum,814,0.85995086,0,0
010545488163,Wrixum,561,0.91087344,0,0
010545488164,"Wyk auf Föhr, Stadt",4217,0.839696467,0.005454114,0.002371354
010545489001,Achtrup,1534,0.952411995,0,0
010545489009,Aventoft,406,0.938423645,0,0
010545489016,Bosbüll,260,0.838461538,0,0.011538462
010545489017,Braderup,662,0.953172205,0,0
010545489018,Bramstedtlund,212,0.952830189,0,0
010545489022,Dagebüll,918,0.9291939,0,0
010545489027,Ellhöft,105,0.952380952,0,0
010545489034,Friedrich0Wilhelm0Lübke0Koog,169,0.934911243,0,0
010545489048,Holm (Kreis Nordfriesland),93,0.978494624,0,0
010545489055,Humptrup,756,0.96031746,0,0
010545489062,Karlum,214,1,0,0
010545489065,Klanxbüll,1059,0.880075543,0.003777148,0.002832861
010545489068,Klixbüll,1058,0.921550095,0,0
010545489073,Ladelund,1405,0.929537367,0.002135231,0
010545489076,Leck,7832,0.862870276,0.001532176,0.000766088
010545489077,Lexgaard,55,0.927272727,0,0
010545489086,Neukirchen (Kreis Nordfriesland),1129,0.911426041,0,0.002657219
010545489088,"Niebüll, Stadt",10163,0.83341533,0.004231034,0.002951884
010545489109,Risum0Lindholm,3912,0.951175869,0.000766871,0.000766871
010545489110,Rodenäs,413,0.94188862,0,0
010545489124,Sprakebüll,267,0.966292135,0,0
010545489125,Stadum,915,0.947540984,0.003278689,0
010545489126,Stedesand,876,0.960045662,0,0
010545489131,Süderlügum,2373,0.911925832,0,0
010545489136,Tinningstedt,238,0.907563025,0,0
010545489142,Uphusum,358,0.972067039,0,0
010545489154,Westre,350,0.948571429,0,0
010545489165,Galmsbüll,574,0.87804878,0,0.005226481
010545489166,Emmelsbüll0Horsbüll,915,0.940983607,0,0
010545489167,Enge0Sande,1186,0.968802698,0,0.002529511
010545492007,Arlewatt,341,0.973607038,0,0
010545492023,Drage (Kreis Nordfriesland),651,0.938556068,0,0
010545492026,Elisabeth0Sophien0Koog,63,0.936507937,0,0
010545492032,Fresendelf,85,0.976470588,0,0
010545492042,Hattstedt,2605,0.945105566,0.003071017,0
010545492043,Hattstedtermarsch,297,0.952861953,0,0
010545492052,Horstedt (Kreis Nordfriesland),825,0.922424242,0,0
010545492054,Hude,176,0.954545455,0,0
010545492070,Koldenbüttel,935,0.963636364,0,0
010545492084,Mildstedt,3993,0.923616329,0.003756574,0.000751315
010545492091,Nordstrand,2258,0.921612046,0.001328609,0.001328609
010545492096,Oldersbek,754,0.957559682,0,0
010545492097,Olderup,463,0.943844492,0,0
010545492099,Ostenfeld (Husum),1553,0.954282035,0,0.001931745
010545492105,Ramstedt,432,0.951388889,0,0
010545492106,Rantrum,1953,0.962109575,0,0.001536098
010545492116,Schwabstedt,1340,0.932089552,0.002238806,0
010545492119,Seeth,611,0.968903437,0,0.004909984
010545492120,Simonsberg,837,0.951015532,0,0.004778973
010545492130,Süderhöft,23,1,0,0
010545492132,Südermarsch,142,0.950704225,0,0
010545492141,Uelvesbüll,303,0.97689769,0,0
010545492156,Winnert,722,0.95567867,0,0
010545492157,Wisch (Kreis Nordfriesland),111,0.990990991,0,0
010545492159,Wittbek,792,0.977272727,0,0
010545492161,Witzwort,1027,0.955209348,0,0
010545492162,Wobbenbüll,458,0.967248908,0,0
010545494002,Ahrenshöft,532,0.954887218,0,0
010545494006,Almdorf,544,0.965073529,0,0
010545494010,Bargum,664,0.972891566,0.004518072,0
010545494012,Bohmstedt,767,0.964797914,0,0
010545494014,Bordelum,2073,0.945972021,0.001447178,0.001447178
010545494019,"Bredstedt, Stadt",5608,0.847895863,0.001961484,0.000713267
010545494020,Breklum,2385,0.929979036,0,0
010545494024,Drelsdorf,1278,0.96713615,0,0
010545494037,Goldebek,374,0.99197861,0,0
010545494038,Goldelund,414,0.956521739,0,0
010545494045,Högel,470,0.942553191,0,0.006382979
010545494059,Joldelund,819,0.936507937,0.003663004,0
010545494071,Kolkerheide,75,0.773333333,0,0
010545494075,Langenhorn,3330,0.947447447,0,0
010545494080,Lütjenholm,349,0.985673352,0,0
010545494093,Ockholm,310,0.941935484,0,0
010545494121,Sönnebüll,296,0.956081081,0,0
010545494128,Struckum,1029,0.93877551,0,0
010545494146,Vollstedt,176,0.960227273,0,0
010550001001,Ahrensbök,8106,0.905008636,0.003207501,0.001727116
010550004004,"Bad Schwartau, Stadt",20108,0.881042371,0.006564551,0.001641138
010550007007,Bosau,3363,0.942016057,0.000892061,0.000892061
010550010010,Dahme,1244,0.823954984,0.002411576,0.008038585
010550012012,"Eutin, Stadt",17057,0.875241836,0.002579586,0.000996658
010550016016,Grömitz,6895,0.834517766,0.002030457,0.006526468
010550018018,Grube,1028,0.850194553,0,0
010550021021,"Heiligenhafen, Stadt",9503,0.866568452,0.001788909,0.002209828
010550025025,Kellenhusen (Ostsee),1143,0.859142607,0.002624672,0
010550028028,Malente,10763,0.90077116,0.003158971,0.001207842
010550032032,"Neustadt in Holstein, Stadt",15269,0.873665597,0.00392953,0.002816163
010550033033,"Oldenburg in Holstein, Stadt",9718,0.861597036,0.001646429,0.001234822
010550035035,Ratekau,15303,0.889433444,0.003594067,0.00137228
010550040040,Stockelsdorf,16386,0.89808373,0.006957159,0.000427194
010550041041,Süsel,5005,0.94025974,0,0.000799201
010550042042,Timmendorfer Strand,8390,0.842669845,0.003456496,0.003694875
010550044044,Scharbeutz,11634,0.889547877,0.001891009,0.003352243
010550046046,"Fehmarn, Stadt",13291,0.881273042,0.002633361,0.006169588
010555543014,Göhl,1097,0.953509572,0,0
010555543015,Gremersdorf,1634,0.928396573,0,0
010555543017,Großenbrode,2195,0.920273349,0.002277904,0.001822323
